,userCode,userFileName,condition,response1,item,trialnumber,frame,view,syllNum,fricative,animate,long,localTime,age,gender
88,RFS707,707,3,Continue,tob,30,icecream,ro,1,no,no,none,Tue+Oct+11+2016+10%3A26%3A41+GMT-0400+(EDT),,
89,RFS707,707,3,Continue,tesh,31,car,ro,1,yes,no,none,Tue+Oct+11+2016+10%3A26%3A42+GMT-0400+(EDT),,
90,RFS707,707,3,Continue,sod,32,pencil,ro,1,no,no,none,Tue+Oct+11+2016+10%3A26%3A43+GMT-0400+(EDT),,
91,RFS707,707,3,tob-(tob-kosh),tob,33,undefined,threeTrialsAgoTest.ejs,2,no,,,Tue+Oct+11+2016+10%3A26%3A44+GMT-0400+(EDT),,
92,RFS707,707,3,Continue,zup,34,ox,ek,1,no,yes,none,Tue+Oct+11+2016+10%3A26%3A45+GMT-0400+(EDT),,
93,RFS707,707,3,Continue,fudiz,35,chicken,ek,2,yes,yes,none,Tue+Oct+11+2016+10%3A26%3A46+GMT-0400+(EDT),,
94,RFS707,707,3,zifek-(ek-ro),zif,37,crab,mytest.ejs,1,yes,yes,none,Tue+Oct+11+2016+10%3A27%3A45+GMT-0400+(EDT),,
95,RFS707,707,3,voguvek-(ro-ek),voguv,38,bike,mytest.ejs,2,yes,no,none,Tue+Oct+11+2016+10%3A27%3A52+GMT-0400+(EDT),,
96,RFS707,707,3,rosapik-(ek-ro),sapik,39,microphone,mytest.ejs,2,no,no,none,Tue+Oct+11+2016+10%3A27%3A55+GMT-0400+(EDT),,
97,RFS707,707,3,shapek-(ek-ro),shap,40,toothbrush,mytest.ejs,1,no,no,none,Tue+Oct+11+2016+10%3A27%3A56+GMT-0400+(EDT),,
98,RFS707,707,3,rofikash-(ro-ek),fikash,41,fox,mytest.ejs,2,yes,yes,none,Tue+Oct+11+2016+10%3A27%3A58+GMT-0400+(EDT),,
99,RFS707,707,3,roshufik-(ek-ro),shufik,42,fish,mytest.ejs,2,no,yes,none,Tue+Oct+11+2016+10%3A27%3A59+GMT-0400+(EDT),,
100,RFS707,707,3,ropip-(ro-ek),pip,43,pen,mytest.ejs,1,no,no,none,Tue+Oct+11+2016+10%3A28%3A01+GMT-0400+(EDT),,
101,RFS707,707,3,roduf-(ek-ro),duf,44,mirror,mytest.ejs,1,yes,no,none,Tue+Oct+11+2016+10%3A28%3A02+GMT-0400+(EDT),,
102,RFS707,707,3,shikek-(ek-ro),shik,45,giraffe,mytest.ejs,1,no,yes,none,Tue+Oct+11+2016+10%3A28%3A03+GMT-0400+(EDT),,
103,RFS707,707,3,shobitek-(ro-ek),shobit,46,pig,mytest.ejs,2,no,yes,none,Tue+Oct+11+2016+10%3A28%3A05+GMT-0400+(EDT),,
104,RFS707,707,3,bosovek-(ro-ek),bosov,47,scarf,mytest.ejs,2,yes,no,none,Tue+Oct+11+2016+10%3A28%3A07+GMT-0400+(EDT),,
105,RFS707,707,3,rozek-(ro-ek),zek,48,goat,mytest.ejs,1,no,yes,none,Tue+Oct+11+2016+10%3A28%3A08+GMT-0400+(EDT),,
106,RFS707,707,3,rokos-(ro-ek),kos,49,horse,mytest.ejs,1,yes,yes,none,Tue+Oct+11+2016+10%3A28%3A10+GMT-0400+(EDT),,
107,RFS707,707,3,ropof-(ek-ro),pof,50,bowl,mytest.ejs,1,yes,no,none,Tue+Oct+11+2016+10%3A28%3A12+GMT-0400+(EDT),,
108,RFS707,707,3,tusudek-(ek-ro),tusud,51,comb,mytest.ejs,2,no,no,none,Tue+Oct+11+2016+10%3A28%3A14+GMT-0400+(EDT),,
109,RFS707,707,3,sapifek-(ro-ek),sapif,52,cat,mytest.ejs,2,yes,yes,none,Tue+Oct+11+2016+10%3A28%3A19+GMT-0400+(EDT),,
110,,,,,,,,,,,,,,,
